"","X."
"Dendromus_melanotis",7.36
"Dendromus_mesomelas",10.6
"Dendromus_mystacalis",7.2
"Dephomys_defua",45
"Desmana_moschata",383
"Desmodilliscus_braueri",10
"Desmodillus_auricularis",54.5
"Dicerorhinus_sumatrensis",1266666.67
"Diceros_bicornis",927766.67
"Dicrostonyx_groenlandicus",55.05
"Dicrostonyx_hudsonius",57
"Dicrostonyx_richardsoni",55
"Dicrostonyx_torquatus",85
"Dinaromys_bogdanovi",56
"Dinomys_branickii",12500
"Diplomesodon_pulchellum",10
"Dipodomys_agilis",60.57
"Dipodomys_californicus",84.96
"Dipodomys_deserti",112
"Dipodomys_elephantinus",85
"Dipodomys_heermanni",65
"Dipodomys_ingens",132
"Dipodomys_merriami",40
"Dipodomys_microps",55.16
"Dipodomys_nitratoides",35.5
"Dipodomys_ordii",54.5
"Dipodomys_panamintinus",72.4
"Dipodomys_spectabilis",119.6
"Dipodomys_stephensi",64.5
"Dipodomys_venustus",82
"Dipus_sagitta",87
"Dolichotis_patagonum",12500
"Dolichotis_salinicola",1600
"Dremomys_lokriah",172.5
"Dryomys_nitedula",25
"Dugong_dugon",479500
"Echimys_chrysurus",640
"Echinops_telfairi",180
"Echinosorex_gymnura",956.5
"Eira_barbara",4500
"Elaphodus_cephalophus",33500
"Elaphurus_davidianus",149000
"Elephantulus_brachyrhynchus",44.33
"Elephantulus_intufi",51.95
"Elephantulus_myurus",51.94
"Elephantulus_rozeti",48
"Elephantulus_rufescens",58
"Elephantulus_rupestris",60
"Elephas_maximus",3178000
"Eligmodontia_typus",21.4
"Eliomys_quercinus",115
"Ellobius_fuscocapillus",80
"Ellobius_talpinus",38
"Enhydra_lutris",21800
"Eolagurus_luteus",26
"Epixerus_ebii",388
"Equus_asinus",250000
"Equus_burchellii",257000
"Equus_grevyi",384000
"Equus_hemionus",230000
"Equus_kiang",275000
"Equus_zebra",296000
"Eremodipus_lichtensteini",51
"Erethizon_dorsatum",9000
"Erignathus_barbatus",286666.67
"Erinaceus_concolor",719
"Erinaceus_europaeus",771
"Erythrocebus_patas",5883.4
"Eschrichtius_robustus",25100000
"Eubalaena_australis",2.3e+07
"Eubalaena_glacialis",2.3e+07
"Eulemur_coronatus",1389.25
"Eulemur_fulvus",2426.29
"Eulemur_macaco",2171.83
"Eulemur_mongoz",1666.2
"Eulemur_rubriventer",120
"Eumetopias_jubatus",288932.5
"Euoticus_elegantulus",280
"Euphractus_sexcinctus",4600
"Eupleres_goudotii",3000
"Exilisciurus_exilis",14.6
"Felis_chaus",10000
"Felis_margarita",2350
"Felis_nigripes",2125
"Felis_silvestris",4150
"Feresa_attenuata",133000
"Fossa_fossana",1540
"Funambulus_pennantii",702.5
"Funisciurus_anerythrus",218
"Funisciurus_congicus",106
"Funisciurus_lemniscatus",141
"Funisciurus_pyrropus",271.67
"Galago_alleni",289.2
"Galago_moholi",180
"Galago_senegalensis",171.38
"Galagoides_demidoff",707
"Galagoides_zanzibaricus",144
"Galea_musteloides",337.85
"Galea_spixii",326
"Galemys_pyrenaicus",61.3
"Galerella_pulverulenta",683
"Galerella_sanguinea",448
"Galictis_vittata",2350
"Galidia_elegans",800
"Gazella_cuvieri",17500
"Gazella_dama",73000
"Gazella_dorcas",16985
"Gazella_gazella",20750
"Gazella_granti",47636.36
"Gazella_leptoceros",23600
"Gazella_rufifrons",27000
"Gazella_soemmerringii",40000
"Gazella_spekei",20000
"Gazella_subgutturosa",25500
"Gazella_thomsonii",16300
"Genetta_genetta",1866.67
"Genetta_maculata",2225
"Genetta_tigrina",1820
"Geocapromys_brownii",1500
"Geocapromys_ingrahami",660
"Geogale_aurita",6.7
"Geomys_arenarius",210
"Geomys_bursarius",176.67
"Geomys_personatus",397
"Geomys_pinetis",142.5
"Georychus_capensis",181
"Gerbillurus_paeba",28.5
"Gerbillurus_setzeri",38.6
"Gerbillurus_tytonis",24
"Gerbillus_allenbyi",4e+06
"Gerbillus_andersoni",22
"Gerbillus_cheesmani",43.35
"Gerbillus_dasyurus",24.4
"Gerbillus_gerbillus",25
"Gerbillus_gleadowi",26.1
"Gerbillus_henleyi",11.7
"Gerbillus_nanus",18.5
"Gerbillus_pyramidum",37
"Giraffa_camelopardalis",8e+05
"Glaucomys_sabrinus",132.17
"Glaucomys_volans",65.38
"Glirulus_japonicus",27
"Globicephala_macrorhynchus",726000
"Globicephala_melas",1060000
"Golunda_ellioti",65
"Gorilla_gorilla",101386.11
"Grammomys_dolichurus",43.7
"Grammomys_rutilans",53
"Grampus_griseus",425000
"Graomys_griseoflavus",66
"Graphiurus_murinus",24
"Graphiurus_ocularis",68.8
"Gulo_gulo",16333.33
"Halichoerus_grypus",186000
"Hapalemur_aureus",1390
"Hapalemur_griseus",1202.71
"Helarctos_malayanus",46000
"Heliophobius_argenteocinereus",160
"Heliosciurus_rufobrachium",326.5
"Helogale_parvula",274.8
"Hemicentetes_semispinosus",149.6
"Hemiechinus_aethiopicus",358
"Hemiechinus_auritus",342
"Hemiechinus_hypomelas",292
"Hemiechinus_micropus",171
"Hemigalus_derbyanus",2375
"Hemitragus_jemlahicus",35200
"Herpailurus_yaguarondi",6750
"Herpestes_edwardsii",1008
"Herpestes_ichneumon",2920
"Herpestes_javanicus",800
"Heterocephalus_glaber",35
"Heterohyrax_brucei",2456.67
"Heteromys_anomalus",70
"Heteromys_desmarestianus",77
"Heteromys_goldmani",85
"Heteromys_oresterus",81
"Hexaprotodon_liberiensis",215000
"Hippocamelus_antisensis",68600
"Hippocamelus_bisulcus",70000
"Hippopotamus_amphibius",1258333.33
"Hippotragus_equinus",242000
"Hippotragus_niger",200500
"Hodomys_alleni",368
"Holochilus_brasiliensis",155
"Hoplomys_gymnurus",504
"Hyaena_hyaena",40000
"Hybomys_univittatus",51.8
"Hydrochaeris_hydrochaeris",55000
"Hydromys_chrysogaster",606
"Hydropotes_inermis",14000
"Hydrurga_leptonyx",398666.67
"Hyemoschus_aquaticus",12250
"Hylobates_agilis",5666.67
"Hylobates_concolor",6389.67
"Hylobates_hoolock",6500
"Hylobates_klossii",5900
"Hylobates_lar",5050.56
