"","X."
"Paraxerus_cepapi",216
"Paraxerus_palliatus",295
"Paraxerus_poensis",134
"Pardofelis_marmorata",3500
"Parotomys_brantsii",120
"Pecari_tajacu",19200
"Pedetes_capensis",3500
"Pelea_capreolus",25000
"Pelomys_fallax",118
"Pelomys_minor",50
"Peponocephala_electra",206000
"Perodicticus_potto",1083.5
"Perognathus_fasciatus",11.55
"Perognathus_flavescens",9
"Perognathus_flavus",7.83
"Perognathus_inornatus",8.65
"Perognathus_longimembris",9
"Perognathus_merriami",8
"Perognathus_parvus",20.1
"Peromyscus_attwateri",30
"Peromyscus_boylii",28.7
"Peromyscus_californicus",42
"Peromyscus_crinitus",16.33
"Peromyscus_difficilis",28
"Peromyscus_eremicus",25
"Peromyscus_gossypinus",29
"Peromyscus_gratus",26.9
"Peromyscus_hooperi",36
"Peromyscus_leucopus",23
"Peromyscus_maniculatus",20.5
"Peromyscus_megalops",71
"Peromyscus_melanocarpus",59
"Peromyscus_melanophrys",40
"Peromyscus_melanotis",39.6
"Peromyscus_mexicanus",60.5
"Peromyscus_nasutus",28
"Peromyscus_pectoralis",31.5
"Peromyscus_perfulvus",40
"Peromyscus_polionotus",14
"Peromyscus_sitkensis",28.3
"Peromyscus_truei",27
"Peromyscus_yucatanicus",26.3
"Petaurista_elegans",1273.33
"Petaurista_magnificus",1780
"Petaurista_petaurista",1330
"Petinomys_fuscocapillus",712
"Petinomys_genibarbis",110
"Petinomys_setosus",42.25
"Petinomys_vordermanni",37
"Petrodromus_tetradactylus",220
"Petromus_typicus",200
"Petromyscus_collinus",21
"Phacochoerus_aethiopicus",71000
"Phaner_furcifer",400
"Phenacomys_intermedius",33
"Phenacomys_ungava",27
"Phoca_caspica",86000
"Phoca_fasciata",82500
"Phoca_groenlandica",128786.67
"Phoca_hispida",86140
"Phoca_largha",80000
"Phoca_sibirica",81666.67
"Phoca_vitulina",101250
"Phocoena_phocoena",53183.33
"Phocoena_sinus",45000
"Phocoenoides_dalli",101666.67
"Phodopus_campbelli",23.4
"Phodopus_sungorus",23.4
"Phyllotis_darwini",50.83
"Physeter_catodon",15400000
"Pithecheir_parvus",104
"Pithecia_monachus",1926.67
"Pithecia_pithecia",1377.2
"Plagiodontia_aedium",1267
"Platanista_gangetica",21000
"Podomys_floridanus",31.25
"Poecilogale_albinucha",257.5
"Poelagus_marjorita",2500
"Pogonomelomys_sevia",60.9
"Pogonomys_loriae",95
"Pogonomys_macrourus",45.1
"Pogonomys_sylvestris",39.1
"Pongo_pygmaeus",37115.6
"Pontoporia_blainvillei",40333.33
"Potamochoerus_porcus",71000
"Potamogale_velox",761.7
"Potos_flavus",3000
"Praomys_delectorum",27
"Praomys_jacksoni",40
"Praomys_morio",21
"Praomys_tullbergi",36.97
"Presbytis_comata",6200
"Presbytis_melalophos",6600
"Presbytis_potenziani",6400
"Presbytis_rubicunda",6300
"Priodontes_maximus",50000
"Prionailurus_bengalensis",4150
"Prionailurus_rubiginosus",1350
"Prionailurus_viverrinus",10850
"Prionodon_linsang",698
"Prionodon_pardicolor",4500
"Procapra_gutturosa",24000
"Procavia_capensis",3600
"Procolobus_badius",6163.5
"Procolobus_verus",3600
"Procyon_cancrivorus",6270
"Procyon_lotor",4400
"Proechimys_cayennensis",356.5
"Proechimys_guairae",350
"Proechimys_semispinosus",500
"Profelis_aurata",10650
"Pronolagus_crassicaudatus",1945
"Pronolagus_randensis",2470
"Pronolagus_rupestris",1700
"Propithecus_diadema",6260
"Propithecus_tattersalli",3545
"Propithecus_verreauxi",3657.13
"Proteles_cristatus",10000
"Psammomys_obesus",177.33
"Pseudalopex_culpaeus",13000
"Pseudalopex_griseus",3990
"Pseudalopex_gymnocercus",4690
"Pseudois_nayaur",46666.67
"Pseudomys_albocinereus",26
"Pseudomys_apodemoides",20
"Pseudomys_australis",65
"Pseudomys_delicatulus",11
"Pseudomys_desertor",25
"Pseudomys_fieldi",45
"Pseudomys_fumeus",70
"Pseudomys_fuscus",148
"Pseudomys_gracilicaudatus",63
"Pseudomys_hermannsburgensis",12
"Pseudomys_higginsi",60.1
"Pseudomys_nanus",34
"Pseudomys_novaehollandiae",18
"Pseudomys_oralis",95
"Pseudomys_pilligaensis",11
"Pseudomys_praeconis",45
"Pseudomys_shortridgei",64
"Pseudorca_crassidens",1360000
"Pteromys_volans",130
"Pteronura_brasiliensis",24000
"Ptilocercus_lowii",42.5
"Pudu_mephistophiles",9750
"Pudu_puda",8250
"Puma_concolor",48000
"Pygathrix_bieti",9960
"Pygathrix_nemaeus",8310
"Pygeretmus_pumilio",52.33
"Rangifer_tarandus",113200
"Raphicerus_campestris",11333.33
"Rattus_argentiventer",202
"Rattus_colletti",61
"Rattus_exulans",70
"Rattus_fuscipes",133
"Rattus_leucopus",124
"Rattus_lutreolus",115
"Rattus_norvegicus",280
"Rattus_praetor",139.35
"Rattus_rattus",246.5
"Rattus_sordidus",125
"Rattus_steini",155
"Rattus_tiomanicus",127.5
"Rattus_tunneyi",113.5
"Rattus_villosissimus",200
"Ratufa_bicolor",2150
"Ratufa_indica",1060
"Ratufa_macroura",1280
"Redunca_arundinum",48850
"Redunca_fulvorufula",30000
"Redunca_redunca",40000
"Reithrodon_auritus",72.17
"Reithrodontomys_fulvescens",12.5
"Reithrodontomys_humulis",10.3
"Reithrodontomys_megalotis",11.03
"Reithrodontomys_montanus",9
"Reithrodontomys_raviventris",11.05
"Rhabdomys_pumilio",51
"Rhinoceros_sondaicus",1750000
"Rhinoceros_unicornis",1602333.33
"Rhinosciurus_laticaudatus",221
"Rhipidomys_latimanus",57.5
"Rhipidomys_mastacalis",75
"Rhizomys_pruinosus",2450
"Rhizomys_sumatrensis",3000
"Rhombomys_opimus",143
"Rhynchocyon_chrysopygus",540
"Romerolagus_diazi",494.5
"Rupicapra_rupicapra",26100
"Saccostomus_campestris",47.38
"Saguinus_bicolor",465
"Saguinus_fuscicollis",370
"Saguinus_geoffroyi",499.33
"Saguinus_imperator",445.8
"Saguinus_labiatus",501.33
"Saguinus_leucopus",490
"Saguinus_midas",466.75
"Saguinus_mystax",526.13
"Saguinus_nigricollis",411
"Saguinus_oedipus",401
"Saiga_tatarica",38250
"Saimiri_sciureus",607.8
"Scalopus_aquaticus",74.6
"Scapanus_latimanus",52
"Scapanus_orarius",76.9
"Scapanus_townsendii",118.8
"Sciurillus_pusillus",39
"Sciurus_alleni",461
"Sciurus_arizonensis",760.5
"Sciurus_aureogaster",595
"Sciurus_carolinensis",540.33
"Sciurus_granatensis",374
"Sciurus_griseus",751.67
"Sciurus_niger",803.7
"Sciurus_vulgaris",324.75
"Sciurus_yucatanensis",225
"Scotinomys_teguina",12
"Scotinomys_xerampelinus",15
"Sekeetamys_calurus",38.5
"Semnopithecus_entellus",11253.33
"Setifer_setosus",259.45
"Sicista_betulina",8
"Sigmoceros_lichtensteinii",153000
"Sigmodon_alstoni",55.7
"Sigmodon_fulviventer",211
"Sigmodon_hispidus",185
"Sigmodon_leucotis",135.5
"Sigmodon_ochrognathus",113.67
"Solenodon_cubanus",1000
"Solenodon_paradoxus",900
"Sorex_araneus",8.98
"Sorex_arcticus",8.2
"Sorex_bairdii",8.34
"Sorex_bendirii",15.88
"Sorex_cinereus",4.26
"Sorex_coronatus",9.6
"Sorex_dispar",4.9
"Sorex_fumeus",8.2
"Sorex_haydeni",3
"Sorex_hoyi",4.37
"Sorex_longirostris",3.68
"Sorex_merriami",4
"Sorex_minutus",7.25
"Sorex_monticolus",6
"Sorex_nanus",2.5
"Sorex_ornatus",5.57
"Sorex_pacificus",6.71
"Sorex_palustris",12.47
"Sorex_trowbridgii",4.44
"Sorex_vagrans",5.58
"Sotalia_fluviatilis",46666.67
"Spalacopus_cyanus",98.05
"Speothos_venaticus",6000
"Spermophilus_armatus",308
"Spermophilus_beecheyi",609.33
"Spermophilus_beldingi",278.5
"Spermophilus_brunneus",205
"Spermophilus_citellus",217
"Spermophilus_columbianus",466.33
"Spermophilus_dauricus",200
"Spermophilus_elegans",401.05
"Spermophilus_franklinii",459
"Spermophilus_fulvus",596
"Spermophilus_lateralis",157.6
"Spermophilus_mexicanus",130.95
"Spermophilus_mohavensis",190
"Spermophilus_mollis",165.4
"Spermophilus_parryii",751
"Spermophilus_pygmaeus",136
"Spermophilus_relictus",600
"Spermophilus_richardsonii",342.5
"Spermophilus_saturatus",275
"Spermophilus_spilosoma",119.5
"Spermophilus_tereticaudus",163.33
"Spermophilus_townsendii",155
"Spermophilus_tridecemlineatus",172.67
"Spermophilus_undulatus",840
"Spermophilus_variegatus",663.03
"Spermophilus_washingtoni",203
"Sphiggurus_mexicanus",2000
"Sphiggurus_villosus",1750
"Spilogale_putorius",511.5
"Spilogale_pygmaea",260
"Steatomys_krebsii",24
"Steatomys_pratensis",25.53
"Stenella_attenuata",68700
"Stenella_coeruleoalba",122950
"Stenella_longirostris",70333.33
"Steno_bredanensis",122500
"Stochomys_longicaudatus",74.5
"Stylodipus_telum",55
"Suncus_etruscus",2.1
"Suncus_murinus",45.87
"Sundamys_muelleri",334
"Sundasciurus_lowii",67
"Sundasciurus_tenuis",75
"Suricata_suricatta",776
"Sus_barbatus",102750
"Sus_salvanius",8150
"Sus_scrofa",100900
"Sylvicapra_grimmia",19000
"Sylvilagus_aquaticus",2120.67
"Sylvilagus_audubonii",909.38
"Sylvilagus_bachmani",707.67
"Sylvilagus_brasiliensis",950
"Sylvilagus_floridanus",1269
"Sylvilagus_nuttallii",759.96
"Sylvilagus_palustris",1233
"Sylvilagus_transitionalis",902.6
"Synaptomys_borealis",21.3
"Synaptomys_cooperi",37.05
"Syncerus_caffer",504666.67
"Tachyoryctes_splendens",207.5
"Talpa_altaica",85
"Talpa_europaea",133.3
"Tamandua_tetradactyla",5030
"Tamias_amoenus",48.25
"Tamias_canipes",70
"Tamias_cinereicollis",62.1
"Tamias_dorsalis",62.8
"Tamias_minimus",44.15
"Tamias_ochrogenys",94.1
"Tamias_palmeri",59.7
"Tamias_panamintinus",54.15
"Tamias_quadrimaculatus",88.45
"Tamias_quadrivittatus",58.13
"Tamias_ruficaudus",57.29
"Tamias_senex",94.81
"Tamias_sibiricus",85
"Tamias_siskiyou",75
"Tamias_sonomae",75
"Tamias_speciosus",60
"Tamias_striatus",95.7
"Tamias_townsendii",84
"Tamiasciurus_douglasii",229.8
"Tamiasciurus_hudsonicus",194.5
"Tapirus_bairdii",3e+05
"Tapirus_indicus",296250
"Tapirus_pinchaque",148950
"Tapirus_terrestris",2e+05
"Tarsius_bancanus",101.2
"Tarsius_dianae",107
"Tarsius_spectrum",179.6
"Tarsius_syrichta",112
"Tateomys_rhinogradoides",84
"Tatera_afra",74.8
"Tatera_brantsii",75
"Tatera_inclusa",131
"Tatera_indica",146.67
"Tatera_leucogaster",64.86
"Tatera_nigricauda",114
"Tatera_robusta",93
"Tatera_valida",113
"Taterillus_gracilis",51.85
"Taterillus_pygargus",48.1
"Taurotragus_derbianus",680000
"Taurotragus_oryx",432500
"Taxidea_taxus",6050
"Tayassu_pecari",33750
"Tenrec_ecaudatus",884
"Tetracerus_quadricornis",19000
"Thallomys_paedulcus",77.43
"Thamnomys_venustus",65
"Theropithecus_gelada",12242.33
"Thomomys_bottae",103.5
"Thomomys_bulbivorus",359.9
"Thomomys_monticola",80
"Thomomys_talpoides",91.4
"Thomomys_townsendii",233
"Thomomys_umbrinus",100
"Thrichomys_apereoides",373.5
"Thryonomys_gregorianus",1880
"Thryonomys_swinderianus",3687.5
"Tolypeutes_matacus",1225
"Trachypithecus_cristatus",6572
"Trachypithecus_francoisi",7325
"Trachypithecus_geei",8100
"Trachypithecus_johnii",12000
"Trachypithecus_obscurus",6426
"Trachypithecus_phayrei",8400
"Trachypithecus_vetulus",7081.75
"Tragelaphus_angasii",100666.67
"Tragelaphus_buxtoni",218000
"Tragelaphus_eurycerus",186250
"Tragelaphus_imberbis",64500
"Tragelaphus_scriptus",36250
"Tragelaphus_spekii",87500
"Tragelaphus_strepsiceros",190000
"Tragulus_javanicus",3850
"Tragulus_napu",5900
"Tremarctos_ornatus",61000
"Trichechus_inunguis",480000
"Trichechus_manatus",387500
"Trichechus_senegalensis",5e+05
"Tupaia_glis",159
"Tupaia_minor",700
"Tupaia_montana",283
"Tupaia_tana",797
"Tursiops_truncatus",173333.33
"Tylomys_nudicaudus",280
"Uncia_uncia",45625
"Uranomys_ruddi",47
"Urocyon_cinereoargenteus",4220
"Urocyon_littoralis",1890.67
"Urogale_everetti",350
"Urotrichus_talpoides",19.5
"Ursus_americanus",110560
"Ursus_arctos",203500
"Ursus_maritimus",286366.67
"Ursus_thibetanus",76666.67
"Vandeleuria_nolthenii",56.6
"Varecia_variegata",3431.43
"Vicugna_vicugna",50000
"Viverra_zibetha",10000
"Viverricula_indica",3000
"Vormela_peregusna",542.5
"Vulpes_bengalensis",1800
"Vulpes_cana",1000
"Vulpes_chama",4000
"Vulpes_corsac",2700
"Vulpes_ferrilata",7000
"Vulpes_pallida",2550
"Vulpes_velox",2766.67
"Vulpes_vulpes",5662.5
"Vulpes_zerda",1200
"Wiedomys_pyrrhorhinos",47
"Xerus_erythropus",502
"Xerus_inauris",588
"Zaedyus_pichiy",1500
"Zalophus_californianus",84666.67
"Zapus_hudsonius",18.25
"Zapus_princeps",28.75
"Zapus_trinotatus",24
"Zelotomys_woosnami",54.5
"Ziphius_cavirostris",2952500
"Zygodontomys_brevicauda",58
"Zyzomys_argurus",50
"Zyzomys_maini",94
"Zyzomys_woodwardi",130
