#Returns a data frame with the initial values (I), theta estimates (T)
#Log likelihoods (L), sigma (S), and alpha (A)

$bobyqa
             I        T        L          S          A
V4  0.06216327 4.241044 9.841744 0.4971956 3.035554
V5  0.08255102 4.241044 9.841744 0.4971952 3.035553
V6  0.10293878 4.241044 9.841744 0.4971955 3.035554
V7  0.12332653 4.241044 9.841744 0.4971954 3.035554
V8  0.14371429 4.241044 9.841744 0.4971955 3.035554
V9  0.16410204 4.241044 9.841744 0.4971956 3.035554
V10 0.18448980 4.241044 9.841744 0.4971954 3.035554
V11 0.20487755 4.241044 9.841744 0.4971955 3.035554
V12 0.22526531 4.241044 9.841744 0.4971955 3.035554
V13 0.24565306 4.241044 9.841744 0.4971954 3.035553
V14 0.26604082 4.241044 9.841744 0.4971953 3.035553
V15 0.28642857 4.241044 9.841744 0.4971955 3.035554
V16 0.30681633 4.241044 9.841744 0.4971954 3.035553
V17 0.32720408 4.241044 9.841744 0.4971958 3.035554
V18 0.34759184 4.241044 9.841744 0.4971953 3.035553
V19 0.36797959 4.241044 9.841744 0.4971955 3.035554
V20 0.38836735 4.241044 9.841744 0.4971955 3.035553
V21 0.40875510 4.241044 9.841744 0.4971957 3.035555
V22 0.42914286 4.241044 9.841744 0.4971955 3.035554
V23 0.44953061 4.241044 9.841744 0.4971957 3.035554
V24 0.46991837 4.241044 9.841744 0.4971954 3.035553
V25 0.49030612 4.241044 9.841744 0.4971955 3.035554
V26 0.51069388 4.241044 9.841744 0.4971954 3.035553
V27 0.53108163 4.241044 9.841744 0.4971954 3.035553
V28 0.55146939 4.241044 9.841744 0.4971955 3.035553
V29 0.57185714 4.241044 9.841744 0.4971954 3.035553
V30 0.59224490 4.241044 9.841744 0.4971955 3.035554
V31 0.61263265 4.241044 9.841744 0.4971955 3.035554
V32 0.63302041 4.241044 9.841744 0.4971955 3.035553
V33 0.65340816 4.241044 9.841744 0.4971955 3.035554
V34 0.67379592 4.241044 9.841744 0.4971956 3.035553
V35 0.69418367 4.241044 9.841744 0.4971955 3.035554
V36 0.71457143 4.241044 9.841744 0.4971955 3.035554
V37 0.73495918 4.241044 9.841744 0.4971955 3.035554
V38 0.75534694 4.241044 9.841744 0.4971955 3.035554
V39 0.77573469 4.241044 9.841744 0.4971955 3.035554
V40 0.79612245 4.241044 9.841744 0.4971956 3.035554
V41 0.81651020 4.241044 9.841744 0.4971968 3.035562
V42 0.83689796 4.241044 9.841744 0.4971956 3.035555
V43 0.85728571 4.241044 9.841744 0.4971957 3.035555
V44 0.87767347 4.241044 9.841744 0.4971959 3.035556
V45 0.89806122 4.241044 9.841744 0.4971961 3.035558
V46 0.91844898 4.241044 9.841744 0.4971970 3.035562
V47 0.93883673 4.241044 9.841744 0.4971956 3.035555
V48 0.95922449 4.241044 9.841744 0.4971958 3.035556
