#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

$bobyqa
             I         P         L           S
V27  5.3108163 257.9038 -8.317766       NaN
V28  5.5146939 263.8726 -8.317766       NaN
V29  5.7185714 267.4494 -8.317766       NaN
V30  5.9224490 266.9271 -8.317766 158331.59
V31  6.1263265 265.7346 -8.317766       NaN
V32  6.3302041 265.3202 -8.317766       NaN
V33  6.5340816 266.2465 -8.317766  77758.32
V34  6.7379592 267.2584 -8.317766       NaN
V35  6.9418367 276.9571 -8.317766       NaN
V36  7.1457143 257.6177 -8.317766  96645.26
V37  7.3495918 257.8284 -8.317766  49618.52
V38  7.5534694 239.3912 -8.317766  74581.14
V39  7.7573469 239.9448 -8.317766       NaN
V40  7.9612245 240.6071 -8.317766  66363.23
V41  8.1651020 241.3620 -8.317766       NaN
V42  8.3689796 242.1958 -8.317766 128495.10
V43  8.5728571 243.0972 -8.317766 203924.71
V44  8.7767347 244.0522 -8.317766 204725.85
V45  8.9806122 245.0350 -8.317766  91924.87
V46  9.1844898 246.0582 -8.317766       NaN
V47  9.3883673 238.4492 -8.317766  43138.65
V48  9.5922449 239.2774 -8.317766 200720.42
V49  9.7961224 248.3515 -8.317766       NaN
V50 10.0000000 257.4705 -8.317766 107990.97

$rcgmin
             I         P         L          S
V1   0.0100000    0.0100 -8.317766 116319.209
V2   0.2138776  146.2290 -8.317774   3074.581
V3   0.4177551  150.0847 -8.317772   3578.211
V4   0.6216327  154.3116 -8.317771   4242.991
V5   0.8255102  149.9148 -8.317772   3549.517
V6   1.0293878  153.4432 -8.317771   4106.495
V7   1.2332653  147.0972 -8.317774   3181.782
V8   1.4371429  149.4757 -8.317773   3487.750
V9   1.6410204  247.6518 -8.317766        NaN
V10  1.8448980  150.5515 -8.317772   3649.914
V11  2.0487755 1025.3374 -8.317766        NaN
V12  2.2526531  253.2485 -8.317766 212440.219
V13  2.4565306  150.3022 -8.317772   3617.528
V14  2.6604082  206.7949 -8.317766  41174.708
V15  2.8642857  375.6542 -8.317766  83477.743
V16  3.0681633  146.0624 -8.317775   3052.911
V17  3.2720408  153.1771 -8.317771   4036.690
V18  3.4759184  147.5254 -8.317774   3231.585
V19  3.6797959  150.6103 -8.317772   3642.981
V20  3.8836735  159.1491 -8.317769   5128.134
V21  4.0875510  208.4471 -8.317766  45919.998
V22  4.2914286  149.1711 -8.317773   3445.827
V23  4.4953061  155.3338 -8.317770   4424.699
V24  4.6991837  126.9934 -8.317805   1422.707
V25  4.9030612  150.0650 -8.317772   3572.337
V26  5.1069388  152.6936 -8.317771   3958.562
V27  5.3108163  149.1882 -8.317773   3439.381
V28  5.5146939  151.9916 -8.317771   3861.857
V29  5.7185714  182.4026 -8.317767  12300.017
V30  5.9224490  166.9462 -8.317768   7073.322
V31  6.1263265  148.8882 -8.317773   3400.511
V32  6.3302041  985.5415 -8.317766        NaN
V33  6.5340816  154.4935 -8.317770   4268.102
V34  6.7379592 2325.2450 -8.317766        NaN
V35  6.9418367  173.2415 -8.317767   8999.732
V36  7.1457143  158.9086 -8.317769   5172.154
V37  7.3495918  149.2246 -8.317773   3449.024
V38  7.5534694  155.0765 -8.317770   4339.872
V39  7.7573469  363.3393 -8.317766  83732.560
V40  7.9612245  153.6793 -8.317771   4137.628
V41  8.1651020  209.9905 -8.317766  36145.800
V42  8.3689796  553.2283 -8.317766        NaN
V43  8.5728571  153.0150 -8.317771   4039.401
V44  8.7767347  150.2751 -8.317772   3619.856
V45  8.9806122  157.5699 -8.317770   4834.567
V46  9.1844898  149.5705 -8.317773   3512.797
V47  9.3883673  154.4462 -8.317770   4217.900
V48  9.5922449  151.0427 -8.317772   3725.373
V49  9.7961224  145.1529 -8.317775   2933.199
V50 10.0000000  178.0553 -8.317767  11125.181

$rvmmin
             I            P            L          S
V1   0.0100000     0.010000   -23.284159 116319.209
V2   0.2138776   409.946880    -8.317766        NaN
V3   0.4177551   217.592414    -8.317766  51627.209
V4   0.6216327   461.527878    -8.317766        NaN
V5   0.8255102   210.555905    -8.317766  48987.542
V6   1.0293878   228.478939    -8.317766        NaN
V7   1.2332653   213.930059    -8.317766  45219.050
V8   1.4371429   250.778438    -8.317766        NaN
V9   1.6410204   209.554074    -8.317766  42021.058
V10  1.8448980   223.025151    -8.317766        NaN
V11  2.0487755   213.654724    -8.317766        NaN
V12  2.2526531   224.959429    -8.317766  50434.775
V13  2.4565306   248.988587    -8.317766        NaN
V14  2.6604082 33347.383234    -8.317766        NaN
V15  2.8642857   215.366533    -8.317766  60220.847
V16  3.0681633   216.244616    -8.317766 114726.884
V17  3.2720408   212.132973    -8.317766  49835.978
V18  3.4759184   251.369115    -8.317766        NaN
V19  3.6797959   227.728037    -8.317766  54580.607
V20  3.8836735   406.284932    -8.317766        NaN
V21  4.0875510   238.596936    -8.317766  56053.104
V22  4.2914286   234.628074    -8.317766        NaN
V23  4.4953061   220.449428    -8.317766  64383.103
V24  4.6991837   326.549956    -8.317766        NaN
V25  4.9030612   247.445336    -8.317766  74562.133
V26  5.1069388   420.572919    -8.317766        NaN
V27  5.3108163   209.799471    -8.317766  70397.021
V28  5.5146939   211.020032    -8.317766  43251.999
V29  5.7185714   228.708964    -8.317766        NaN
V30  5.9224490   233.469658    -8.317766        NaN
V31  6.1263265   233.827692    -8.317766        NaN
V32  6.3302041   290.456441    -8.317766        NaN
V33  6.5340816   211.471952    -8.317766  36210.711
V34  6.7379592   249.469060    -8.317766        NaN
V35  6.9418367   232.161935    -8.317766        NaN
V36  7.1457143   232.784849    -8.317766  72522.974
V37  7.3495918   429.649360    -8.317766        NaN
V38  7.5534694   227.401682    -8.317766  87525.937
V39  7.7573469   543.569956    -8.317766 158751.695
V40  7.9612245   210.287853    -8.317766  39444.739
V41  8.1651020   221.469975    -8.317766        NaN
V42  8.3689796   257.015315    -8.317766        NaN
V43  8.5728571   209.388331    -8.317766  50705.113
V44  8.7767347   263.955835    -8.317766  66015.346
V45  8.9806122   217.781668    -8.317766 129180.280
V46  9.1844898   230.717705    -8.317766        NaN
V47  9.3883673   209.722147    -8.317766  43981.922
V48  9.5922449   406.830185    -8.317766        NaN
V49  9.7961224   218.793057    -8.317766    263.352
V50 10.0000000    -8.317766 92128.215514      0.010

$spg
             I        P         L         S
V1   0.0100000 124.6600 -8.317813  1294.623
V2   0.2138776 121.0388 -8.317828  1120.017
V3   0.4177551 127.9668 -8.317802  1477.970
V4   0.6216327 123.5605 -8.317817  1239.188
V5   0.8255102 130.4078 -8.317796  1629.980
V6   1.0293878 123.1769 -8.317819  1221.196
V7   1.2332653 125.6271 -8.317809  1345.747
V8   1.4371429 126.0777 -8.317808  1369.721
V9   1.6410204 126.0619 -8.317808  1369.636
V10  1.8448980 128.0351 -8.317802  1481.042
V11  2.0487755 125.7439 -8.317809  1351.579
V12  2.2526531 126.8579 -8.317805  1413.303
V13  2.4565306 129.2234 -8.317799  1553.380
V14  2.6604082 146.8291 -8.317774  3130.267
V15  2.8642857 123.9705 -8.317815  1259.400
V16  3.0681633 132.3854 -8.317791  1760.583
V17  3.2720408 122.8927 -8.317820  1207.113
V18  3.4759184 125.9592 -8.317808  1363.923
V19  3.6797959 122.0414 -8.317824  1165.885
V20  3.8836735 121.5708 -8.317826  1143.852
V21  4.0875510 123.2290 -8.317818  1222.995
V22  4.2914286 127.7231 -8.317803  1462.322
V23  4.4953061 129.2356 -8.317799  1554.805
V24  4.6991837 124.9250 -8.317812  1308.988
V25  4.9030612 176.2259 -8.317767 10268.626
V26  5.1069388 129.8602 -8.317797  1593.772
V27  5.3108163 122.6527 -8.317821  1194.482
V28  5.5146939 125.3352 -8.317810  1330.125
V29  5.7185714 122.0395 -8.317824  1165.886
V30  5.9224490 129.0348 -8.317799  1543.603
V31  6.1263265 126.7986 -8.317805  1409.506
V32  6.3302041 126.4812 -8.317806  1391.395
V33  6.5340816 126.2716 -8.317807  1380.949
V34  6.7379592 125.6304 -8.317809  1345.206
V35  6.9418367 125.8346 -8.317809  1357.102
V36  7.1457143 125.9763 -8.317808  1365.132
V37  7.3495918 126.1359 -8.317808  1372.802
V38  7.5534694 126.3426 -8.317807  1383.755
V39  7.7573469 125.8980 -8.317808  1361.135
V40  7.9612245 127.4642 -8.317803  1447.774
V41  8.1651020 126.9436 -8.317805  1418.768
V42  8.3689796 128.0310 -8.317802  1482.157
V43  8.5728571 127.7039 -8.317803  1462.375
V44  8.7767347 129.0364 -8.317799  1542.995
V45  8.9806122 128.0799 -8.317802  1483.678
V46  9.1844898 129.1365 -8.317799  1547.970
V47  9.3883673 129.5392 -8.317798  1573.663
V48  9.5922449 120.5714 -8.317831  1099.231
V49  9.7961224 120.9885 -8.317829  1117.633
V50 10.0000000 131.7237 -8.317793  1719.200
