"","X..3"
"Eliomys_quercinus",0
"Ellobius_talpinus",2
"Enhydra_lutris",2
"Eptesicus_douglasorum",2
"Equus_burchellii",2
"Equus_grevyi",2
"Equus_hemionus",2
"Equus_zebra",2
"Erethizon_dorsatum",1
"Erignathus_barbatus",0
"Erinaceus_europaeus",1
"Erythrocebus_patas",2
"Eschrichtius_robustus",2
"Eubalaena_glacialis",2
"Eulemur_fulvus",2
"Eulemur_macaco",2
"Eulemur_mongoz",2
"Eumetopias_jubatus",2
"Euphractus_sexcinctus",1
"Eupleres_goudotii",2
"Felis_chaus",2
"Felis_silvestris",2
"Fossa_fossana",2
"Funambulus_pennantii",2
"Funisciurus_congicus",1
"Galago_moholi",2
"Galago_senegalensis",2
"Galea_musteloides",1
"Galerella_pulverulenta",1
"Galerella_sanguinea",1
"Galidia_elegans",1
"Gazella_dorcas",2
"Gazella_gazella",2
"Gazella_subgutturosa",2
"Gazella_thomsonii",2
"Genetta_genetta",2
"Genetta_tigrina",1
"Geogale_aurita",1
"Geomys_bursarius",1
"Geomys_pinetis",0
"Georychus_capensis",0
"Gerbillurus_paeba",0
"Gerbillurus_setzeri",0
"Gerbillurus_tytonis",0
"Gerbillus_pyramidum",0
"Gerbillus_simoni",0
"Giraffa_camelopardalis",2
"Glaucomys_sabrinus",2
"Glaucomys_volans",1
"Globicephala_macrorhynchus",2
"Globicephala_melas",2
"Gorilla_gorilla",2
"Grammomys_cometes",0
"Grammomys_dolichurus",0
"Gulo_gulo",2
"Halichoerus_grypus",0
"Hapalemur_griseus",2
"Helarctos_malayanus",2
"Hemicentetes_semispinosus",0
"Hemiechinus_aethiopicus",1
"Hemiechinus_auritus",1
"Hemiechinus_hypomelas",2
"Hemiechinus_micropus",2
"Hemigalus_derbyanus",2
"Hemitragus_hylocrius",2
"Hemitragus_jemlahicus",2
"Herpestes_ichneumon",2
"Herpestes_javanicus",1
"Heterocephalus_glaber",1
"Heterohyrax_brucei",2
"Hexaprotodon_liberiensis",2
"Hippopotamus_amphibius",2
"Hippotragus_equinus",2
"Hippotragus_niger",2
"Holochilus_brasiliensis",0
"Hyaena_hyaena",2
"Hydrochaeris_hydrochaeris",2
"Hydromys_chrysogaster",1
"Hydrurga_leptonyx",0
"Hyemoschus_aquaticus",2
"Hylobates_hoolock",2
"Hylobates_klossii",2
"Hylobates_lar",2
"Hylobates_syndactylus",2
"Hylochoerus_meinertzhageni",2
"Hylopetes_fimbriatus",2
"Hyperoodon_ampullatus",2
"Hystrix_africaeaustralis",2
"Ichneumia_albicauda",2
"Ictonyx_libyca",1
"Ictonyx_striatus",2
"Indri_indri",2
"Jaculus_jaculus",1
"Kobus_ellipsiprymnus",2
"Kobus_kob",2
"Kobus_leche",2
"Lagenorhynchus_acutus",2
"Lagenorhynchus_obscurus",2
"Lagidium_peruanum",1
"Lagostomus_maximus",1
"Lagothrix_lagotricha",2
"Lama_glama",2
"Lama_guanicoe",2
"Lama_pacos",2
"Leggadina_forresti",0
"Leggadina_lakedownensis",0
"Lemmiscus_curtatus",0
"Lemmus_lemmus",0
"Lemniscomys_striatus",0
"Lemur_catta",2
"Leontopithecus_rosalia",2
"Leopardus_pardalis",2
"Leopardus_tigrinus",1
"Leopardus_wiedii",1
"Lepilemur_mustelinus",2
"Lepilemur_ruficaudatus",2
"Leporillus_conditor",1
"Leptailurus_serval",2
"Leptonychotes_weddellii",1
"Lepus_alleni",1
"Lepus_americanus",0
"Lepus_arcticus",2
"Lepus_californicus",1
"Lepus_capensis",1
"Lepus_europaeus",0
"Lepus_othus",1
"Lepus_timidus",0
"Lepus_townsendii",0
"Liomys_pictus",0
"Lobodon_carcinophagus",1
"Lontra_canadensis",2
"Lophiomys_imhausi",1
"Lophocebus_albigena",2
"Lophuromys_flavopunctatus",1
"Lophuromys_sikapusi",0
"Loris_tardigradus",2
"Loxodonta_africana",2
"Lutra_lutra",1
"Lycaon_pictus",2
"Lynx_canadensis",2
"Lynx_lynx",2
"Lynx_rufus",2
"Macaca_arctoides",2
"Macaca_cyclopis",2
"Macaca_fascicularis",2
"Macaca_fuscata",2
"Macaca_maura",2
"Macaca_mulatta",2
"Macaca_nemestrina",2
"Macaca_nigra",2
"Macaca_radiata",2
"Macaca_silenus",2
"Macaca_sinica",2
"Macaca_sylvanus",2
"Macaca_thibetana",2
"Macroscelides_proboscideus",0
"Madoqua_guentheri",2
"Madoqua_kirkii",2
"Madoqua_saltiana",1
"Malacothrix_typica",1
"Mandrillus_leucophaeus",2
"Mandrillus_sphinx",2
"Manis_pentadactyla",2
"Manis_temminckii",1
"Manis_tricuspis",2
"Marmota_caligata",0
"Marmota_flaviventris",0
"Marmota_marmota",1
"Marmota_monax",1
"Martes_americana",1
"Martes_foina",1
"Martes_martes",1
"Martes_pennanti",2
"Martes_zibellina",1
"Mastomys_natalensis",0
"Mazama_americana",2
"Megadontomys_thomasi",0
"Megaptera_novaeangliae",2
"Meles_meles",2
"Melomys_burtoni",0
"Melomys_cervinipes",1
"Melursus_ursinus",2
"Mephitis_mephitis",2
"Meriones_crassus",0
"Meriones_hurrianae",0
"Meriones_libycus",0
"Meriones_meridianus",0
"Meriones_persicus",0
"Meriones_shawi",0
"Meriones_tamariscinus",0
"Meriones_unguiculatus",0
"Mesembriomys_gouldii",1
"Mesembriomys_macrurus",1
"Mesocricetus_auratus",0
"Mesoplodon_bidens",2
