#Returns a data frame with the initial values (I),
#Log likelihoods (L), beta (B), and delta (D)

#Total time to run about 8 minutes (w/ 50 points)

$spg
            I         L       bLB      bUB          b       dLB      dUB         d        tune
V10 129.38776 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.862814 21.09359 0.02106667
V11 143.65306 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.967401 21.09359 0.02101667
V12 157.91837 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.062078 21.09359 0.02063333
V13 172.18367 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.148562 21.09359 0.02105000
V14 186.44898 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.228158 21.09359 0.02120000
V15 200.71429 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.301882 21.09359 0.02110000
V16 214.97959 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.370543 21.09359 0.02103333
V17 229.24490 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.434791 21.09359 0.02106667
V18 243.51020 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.495159 21.09359 0.02050000
V19 257.77551 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.552089 21.09359 0.02056667
V20 272.04082 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.605952 21.09359 0.02063333
V21 286.30612 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.657062 21.09359 0.02068333
V22 300.57143 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.705685 21.09359 0.02068333
V23 314.83673 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.752054 21.09359 0.02071667
V24 329.10204 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.796368 21.09359 0.02056667
V25 343.36735 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.838801 21.09359 0.02063333
V26 357.63265 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.879506 21.09359 0.02058333
V27 371.89796 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.918620 21.09359 0.02120000
V28 386.16327 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.956260 21.09359 0.02078333
V29 400.42857 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.992535 21.09359 0.02080000
V30 414.69388 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.027541 21.09359 0.02073333
V31 428.95918 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.061362 21.09359 0.02061667
V32 443.22449 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.094076 21.09359 0.02055000
V33 457.48980 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.125755 21.09359 0.02110000
V34 471.75510 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.156460 21.09359 0.02123333
V35 486.02041 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.186251 21.09359 0.02053333
V36 500.28571 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.215179 21.09359 0.02060000
V37 514.55102 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.243295 21.09359 0.02121667
V38 528.81633 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.270641 21.09359 0.02128333
V39 543.08163 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.297260 21.09359 0.02108333
V40 557.34694 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.323188 21.09359 0.02058333
V41 571.61224 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.348461 21.09359 0.02055000
V42 585.87755 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.373111 21.09359 0.02113333
V43 600.14286 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.397168 21.09359 0.02055000
V44 614.40816 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.420659 21.09359 0.02115000
V45 628.67347 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.443612 21.09359 0.02068333
V46 642.93878 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.466050 21.09359 0.02066667
V47 657.20408 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.487995 21.09359 0.02068333
V48 671.46939 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.509468 21.09359 0.02066667
V49 685.73469 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.530491 21.09359 0.02055000
V50 700.00000 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.551080 21.09359 0.02068333

$Rvmmin
            I         L       bLB      bUB          b       dLB      dUB         d        time
V1    1.00000  4.772490 -18.42068 2.995732 0.12032859 -18.42068 0.000000   1.00000 0.018966667
V2   15.26531 10.361495 -18.42068 2.995732 0.02151024 -18.42068 2.725583  15.26531 0.012583333
V3   29.53061 10.440565 -18.42068 2.995732 0.02074103 -18.42068 3.385427  21.09358 0.010700000
V4   43.79592 10.440565 -18.42068 2.995732 0.02074103 -18.42068 3.779541  21.09358 0.008083333
V5   58.06122 10.440565 -18.42068 2.995732 0.02074103 -18.42068 4.061498  21.09358 0.011083333
V6   72.32653 10.440565 -18.42068 2.995732 0.02074103 -18.42068 4.281191  21.09358 0.012383333
V7   86.59184 10.440565 -18.42068 2.995732 0.02074103 -18.42068 4.461206  21.09357 0.013000000
V8  100.85714 10.440565 -18.42068 2.995732 0.02074103 -18.42068 4.613705  21.09358 0.011783333
V9  115.12245 10.440565 -18.42068 2.995732 0.02074103 -18.42068 4.745996  21.09358 0.016300000
V10 129.38776 10.440565 -18.42068 2.995732 0.02074103 -18.42068 4.862814  21.09358 0.015000000
V11 143.65306 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.967401  21.09358 0.020166667
V12 157.91837 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.062078  21.09358 0.013783333
V13 172.18367 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.148562  21.09358 0.014116667
V14 186.44898 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.228158  21.09358 0.011800000
V15 200.71429 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.301882  21.09358 0.020583333
V16 214.97959 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.370543  21.09358 0.013700000
V17 229.24490 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.434791  21.09358 0.014083333
V18 243.51020 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.495159  21.09358 0.017750000
V19 257.77551 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.552089  21.09358 0.017350000
V20 272.04082 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.605952  21.09358 0.017883333
V21 286.30612 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.657062  21.09358 0.015216667
V22 300.57143 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.705685  21.09358 0.015150000
V23 314.83673 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.752054  21.09358 0.021433333
V24 329.10204 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.796368  21.09358 0.021016667
V25 343.36735 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.838801  21.09358 0.018983333
V26 357.63265 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.879506  21.09358 0.015266667
V27 371.89796 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.918620  21.09358 0.020983333
V28 386.16327 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.956260  21.09358 0.021816667
V29 400.42857 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.992535  21.09358 0.026283333
V30 414.69388 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.027541  21.09358 0.018883333
V31 428.95918 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.061362  21.09358 0.019166667
V32 443.22449 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.094076  21.09358 0.021933333
V33 457.48980 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.125755  21.09358 0.024150000
V34 471.75510 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.156460  21.09358 0.028116667
V35 486.02041 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.186251  21.09358 0.026083333
V36 500.28571 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.215179  21.09358 0.018866667
V37 514.55102 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.243295  21.09358 0.017383333
V38 528.81633 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.270641  21.09358 0.027066667
V39 543.08163 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.297260  21.09358 0.034283333
V40 557.34694 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.323188  21.09358 0.021500000
V41 571.61224  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.348461 571.61177 0.010600000
V42 585.87755 10.440565 -18.42068 2.995732 0.02074103 -18.42068 6.373111  21.09358 0.035950000
V43 600.14286  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.397168 600.13639 0.009300000
V44 614.40816  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.420659 614.40799 0.010966667
V45 628.67347  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.443612 628.67313 0.013866667
V46 642.93878  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.466050 642.93871 0.011250000
V47 657.20408  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.487995 657.20403 0.010800000
V48 671.46939  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.509468 671.46936 0.011666667
V49 685.73469  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.530491 685.73467 0.009483333
V50 700.00000  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.551080 699.99998 0.011333333

$bobyqa
            I        L       bLB      bUB          b       dLB      dUB        d        time
V1    1.00000  4.77249 -18.42068 2.995732 0.12032860 -18.42068 0.000000  1.00000 0.008133333
V2   15.26531 10.36149 -18.42068 2.995732 0.02151025 -18.42068 2.725583 15.26531 0.010583333
V3   29.53061 10.44057 -18.42068 2.995732 0.02074104 -18.42068 3.385427 21.09358 0.013150000
V4   43.79592 10.44057 -18.42068 2.995732 0.02074104 -18.42068 3.779541 21.09358 0.013066667
V5   58.06122 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.061498 21.09358 0.013033333
V6   72.32653 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.281191 21.09358 0.013233333
V7   86.59184 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.461206 21.09358 0.013100000
V8  100.85714 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.613705 21.09358 0.013016667
V9  115.12245 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.745996 21.09358 0.012983333
V10 129.38776 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.862814 21.09358 0.013100000
V11 143.65306 10.44057 -18.42068 2.995732 0.02074104 -18.42068 4.967401 21.09358 0.013116667
V12 157.91837 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.062078 21.09358 0.013100000
V13 172.18367 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.148562 21.09358 0.013183333
V14 186.44898 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.228158 21.09358 0.013200000
V15 200.71429 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.301882 21.09358 0.013133333
V16 214.97959 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.370543 21.09358 0.013116667
V17 229.24490 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.434791 21.09358 0.013133333
V18 243.51020 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.495159 21.09358 0.012983333
V19 257.77551 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.552089 21.09358 0.013016667
V20 272.04082 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.605952 21.09358 0.013100000
V21 286.30612 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.657062 21.09358 0.013166667
V22 300.57143 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.705685 21.09358 0.013183333
V23 314.83673 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.752054 21.09358 0.012950000
V24 329.10204 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.796368 21.09358 0.013100000
V25 343.36735 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.838801 21.09358 0.013650000
V26 357.63265 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.879506 21.09358 0.012950000
V27 371.89796 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.918620 21.09358 0.013133333
V28 386.16327 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.956260 21.09358 0.013016667
V29 400.42857 10.44057 -18.42068 2.995732 0.02074104 -18.42068 5.992535 21.09358 0.013166667
V30 414.69388 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.027541 21.09358 0.013216667
V31 428.95918 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.061362 21.09358 0.013066667
V32 443.22449 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.094076 21.09358 0.013033333
V33 457.48980 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.125755 21.09358 0.012950000
V34 471.75510 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.156460 21.09358 0.013050000
V35 486.02041 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.186251 21.09358 0.013116667
V36 500.28571 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.215179 21.09358 0.013000000
V37 514.55102 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.243295 21.09358 0.013183333
V38 528.81633 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.270641 21.09358 0.012966667
V39 543.08163 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.297260 21.09358 0.013100000
V40 557.34694 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.323188 21.09358 0.013066667
V41 571.61224 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.348461 21.09358 0.013150000
V42 585.87755 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.373111 21.09358 0.013050000
V43 600.14286 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.397168 21.09358 0.013133333
V44 614.40816 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.420659 21.09358 0.013133333
V45 628.67347 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.443612 21.09358 0.013133333
V46 642.93878 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.466050 21.09358 0.013650000
V47 657.20408 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.487995 21.09358 0.013133333
V48 671.46939 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.509468 21.09358 0.013116667
V49 685.73469 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.530491 21.09358 0.013116667
V50 700.00000 10.44057 -18.42068 2.995732 0.02074104 -18.42068 6.551080 21.09358 0.013133333

$`L-BFGS-B`
            I         L       bLB      bUB          b       dLB      dUB         d       time
V1    1.00000  4.772490 -18.42068 2.995732 0.12032861 -18.42068 0.000000   1.00000 0.01050000
V2   15.26531 10.361495 -18.42068 2.995732 0.02151025 -18.42068 2.725583  15.26531 0.01128333
V3   29.53061 10.440565 -18.42068 2.995732 0.02074104 -18.42068 3.385427  21.09356 0.01201667
V4   43.79592 10.440565 -18.42068 2.995732 0.02074104 -18.42068 3.779541  21.09358 0.01278333
V5   58.06122 10.440565 -18.42068 2.995732 0.02074101 -18.42068 4.061498  21.09356 0.01318333
V6   72.32653 10.440565 -18.42068 2.995732 0.02074102 -18.42068 4.281191  21.09358 0.01358333
V7   86.59184 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.461206  21.09359 0.01481667
V8  100.85714 10.440565 -18.42068 2.995732 0.02074109 -18.42068 4.613705  21.09368 0.01441667
V9  115.12245 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.745996  21.09359 0.01445000
V10 129.38776 10.440565 -18.42068 2.995732 0.02074112 -18.42068 4.862814  21.09344 0.01571667
V11 143.65306 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.967401  21.09358 0.01748333
V12 157.91837 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.062078  21.09360 0.01658333
V13 172.18367 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.148562  21.09368 0.01710000
V14 186.44898 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.228158  21.09359 0.01798333
V15 200.71429 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.301882  21.09358 0.01875000
V16 214.97959 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.370543  21.09358 0.01836667
V17 229.24490 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.434791  21.09359 0.01793333
V18 243.51020 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.495159  21.09359 0.01788333
V19 257.77551 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.552089  21.09359 0.01858333
V20 272.04082 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.605952  21.09360 0.01781667
V21 286.30612 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.657062  21.09359 0.01838333
V22 300.57143 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.705685  21.09358 0.01978333
V23 314.83673 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.752054  21.09358 0.01876667
V24 329.10204 10.440565 -18.42068 2.995732 0.02074101 -18.42068 5.796368  21.09359 0.02048333
V25 343.36735 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.838801  21.09358 0.01873333
V26 357.63265 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.879506  21.09358 0.02091667
V27 371.89796 10.440565 -18.42068 2.995732 0.02074098 -18.42068 5.918620  21.09353 0.02005000
V28 386.16327  9.805225 -18.42068 2.995732 0.02220681 -18.42068 5.956260 386.10478 0.01176667
V29 400.42857  9.805224 -18.42068 2.995732 0.02220656 -18.42068 5.992535 400.41514 0.01151667
V30 414.69388  9.805224 -18.42068 2.995732 0.02220656 -18.42068 6.027541 414.68512 0.01148333
V31 428.95918  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.061362 428.95611 0.01091667
V32 443.22449  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.094076 443.22249 0.01090000
V33 457.48980  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.125755 457.48850 0.01096667
V34 471.75510  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.156460 471.75427 0.01086667
V35 486.02041  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.186251 486.01987 0.01081667
V36 500.28571  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.215179 500.28537 0.01096667
V37 514.55102  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.243295 514.55080 0.01108333
V38 528.81633  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.270641 528.81618 0.01098333
V39 543.08163  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.297260 543.08154 0.01088333
V40 557.34694  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.323188 557.34688 0.01085000
V41 571.61224  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.348461 571.61221 0.01096667
V42 585.87755  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.373111 585.87753 0.01083333
V43 600.14286  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.397168 600.14284 0.01100000
V44 614.40816  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.420659 614.40815 0.01091667
V45 628.67347  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.443612 628.67346 0.01088333
V46 642.93878  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.466050 642.93877 0.01101667
V47 657.20408  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.487995 657.20408 0.01156667
V48 671.46939  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.509468 671.46939 0.01085000
V49 685.73469  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.530491 685.73469 0.01100000
