#Returns a data frame with the initial values (I),
#Log likelihoods (L), beta (B), and delta (D)

#Total time to run about 8 minutes (w/ 50 points)

$spg
            I         L       bLB      bUB          b       dLB      dUB         d        tune
V13 172.18367 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008933333
V14 186.44898 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008950000
V15 200.71429 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V16 214.97959 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V17 229.24490 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V18 243.51020 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008916667
V19 257.77551 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008800000
V20 272.04082 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008800000
V21 286.30612 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V22 300.57143 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V23 314.83673 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.009433333
V24 329.10204 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008800000
V25 343.36735 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V26 357.63265 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008866667
V27 371.89796 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V28 386.16327 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008966667
V29 400.42857 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008866667
V30 414.69388 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008850000
V31 428.95918 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V32 443.22449 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V33 457.48980 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V34 471.75510 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008933333
V35 486.02041 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008916667
V36 500.28571 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V37 514.55102 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008950000
V38 528.81633 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V39 543.08163 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V40 557.34694 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008916667
V41 571.61224 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008933333
V42 585.87755 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008900000
V43 600.14286 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008916667
V44 614.40816 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008850000
V45 628.67347 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008950000
V46 642.93878 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.009000000
V47 657.20408 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008833333
V48 671.46939 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.009466667
V49 685.73469 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008933333
V50 700.00000 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008833333

$ucminf
            I        L bLB bUB        b dLB dUB        d        time
V1    1.00000 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008650000
V2   15.26531 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008533333
V3   29.53061 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008333333
V4   43.79592 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008350000
V5   58.06122 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V6   72.32653 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008283333
V7   86.59184 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V8  100.85714 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008350000
V9  115.12245 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008350000
V10 129.38776 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008316667
V11 143.65306 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008350000
V12 157.91837 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008333333
V13 172.18367 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V14 186.44898 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008316667
V15 200.71429 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008333333
V16 214.97959 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V17 229.24490 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V18 243.51020 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008400000
V19 257.77551 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V20 272.04082 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V21 286.30612 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008333333
V22 300.57143 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008300000
V23 314.83673 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V24 329.10204 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V25 343.36735 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008283333
V26 357.63265 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V27 371.89796 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008266667
V28 386.16327 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008416667
V29 400.42857 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008416667
V30 414.69388 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008400000
V31 428.95918 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V32 443.22449 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008416667
V33 457.48980 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008400000
V34 471.75510 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008416667
V35 486.02041 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V36 500.28571 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008416667
V37 514.55102 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008316667
V38 528.81633 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V39 543.08163 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V40 557.34694 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V41 571.61224 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008316667
V42 585.87755 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V43 600.14286 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008300000
V44 614.40816 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667
V45 628.67347 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008416667
V46 642.93878 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008283333
V47 657.20408 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008400000
V48 671.46939 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008383333
V49 685.73469 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008283333
V50 700.00000 10.44057  NA  NA 0.020741  NA  NA 21.09356 0.008366667

$`Nelder-Mead`
            I        L bLB bUB          b dLB dUB        d       time
V1    1.00000 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01051667
V2   15.26531 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01053333
V3   29.53061 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01030000
V4   43.79592 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V5   58.06122 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01045000
V6   72.32653 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01101667
V7   86.59184 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V8  100.85714 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01038333
V9  115.12245 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01033333
V10 129.38776 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01035000
V11 143.65306 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01035000
V12 157.91837 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01031667
V13 172.18367 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01038333
V14 186.44898 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01045000
V15 200.71429 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01036667
V16 214.97959 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01033333
V17 229.24490 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01033333
V18 243.51020 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01036667
V19 257.77551 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V20 272.04082 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V21 286.30612 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01106667
V22 300.57143 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01093333
V23 314.83673 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01041667
V24 329.10204 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01045000
V25 343.36735 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01045000
V26 357.63265 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01048333
V27 371.89796 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V28 386.16327 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01041667
V29 400.42857 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V30 414.69388 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V31 428.95918 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01040000
V32 443.22449 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01033333
V33 457.48980 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01035000
V34 471.75510 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01041667
V35 486.02041 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01043333
V36 500.28571 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V37 514.55102 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01051667
V38 528.81633 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01033333
V39 543.08163 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01043333
V40 557.34694 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01041667
V41 571.61224 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01048333
V42 585.87755 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01041667
V43 600.14286 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01051667
V44 614.40816 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V45 628.67347 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01043333
V46 642.93878 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01048333
V47 657.20408 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01046667
V48 671.46939 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01040000
V49 685.73469 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01101667
V50 700.00000 10.44056  NA  NA 0.02075233  NA  NA 21.10242 0.01050000

$nlm
            I              L bLB bUB  b dLB dUB  d        time
V1    1.00000 -8.988466e+307  NA  NA NA  NA  NA NA 0.001283333
V2   15.26531 -8.988466e+307  NA  NA NA  NA  NA NA 0.001266667
V3   29.53061 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V4   43.79592 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V5   58.06122 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V6   72.32653 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V7   86.59184 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V8  100.85714 -8.988466e+307  NA  NA NA  NA  NA NA 0.001216667
V9  115.12245 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V10 129.38776 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V11 143.65306 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V12 157.91837 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V13 172.18367 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V14 186.44898 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V15 200.71429 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V16 214.97959 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V17 229.24490 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V18 243.51020 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V19 257.77551 -8.988466e+307  NA  NA NA  NA  NA NA 0.001216667
V20 272.04082 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V21 286.30612 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V22 300.57143 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V23 314.83673 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V24 329.10204 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V25 343.36735 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V26 357.63265 -8.988466e+307  NA  NA NA  NA  NA NA 0.001266667
V27 371.89796 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V28 386.16327 -8.988466e+307  NA  NA NA  NA  NA NA 0.001216667
V29 400.42857 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V30 414.69388 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V31 428.95918 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V32 443.22449 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V33 457.48980 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V34 471.75510 -8.988466e+307  NA  NA NA  NA  NA NA 0.001216667
V35 486.02041 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V36 500.28571 -8.988466e+307  NA  NA NA  NA  NA NA 0.001283333
V37 514.55102 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V38 528.81633 -8.988466e+307  NA  NA NA  NA  NA NA 0.001283333
V39 543.08163 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V40 557.34694 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V41 571.61224 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V42 585.87755 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V43 600.14286 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V44 614.40816 -8.988466e+307  NA  NA NA  NA  NA NA 0.001216667
V45 628.67347 -8.988466e+307  NA  NA NA  NA  NA NA 0.001216667
V46 642.93878 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V47 657.20408 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333
V48 671.46939 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V49 685.73469 -8.988466e+307  NA  NA NA  NA  NA NA 0.001250000
V50 700.00000 -8.988466e+307  NA  NA NA  NA  NA NA 0.001233333

$CG
            I              L bLB bUB  b dLB dUB  d        time
V1    1.00000 -8.988466e+307  NA  NA NA  NA  NA NA 0.001350000
V2   15.26531 -8.988466e+307  NA  NA NA  NA  NA NA 0.001350000
V3   29.53061 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V4   43.79592 -8.988466e+307  NA  NA NA  NA  NA NA 0.001350000
V5   58.06122 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V6   72.32653 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V7   86.59184 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V8  100.85714 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V9  115.12245 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V10 129.38776 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V11 143.65306 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V12 157.91837 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V13 172.18367 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V14 186.44898 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V15 200.71429 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V16 214.97959 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V17 229.24490 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V18 243.51020 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V19 257.77551 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V20 272.04082 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V21 286.30612 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V22 300.57143 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V23 314.83673 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V24 329.10204 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V25 343.36735 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V26 357.63265 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V27 371.89796 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V28 386.16327 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V29 400.42857 -8.988466e+307  NA  NA NA  NA  NA NA 0.001350000
V30 414.69388 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V31 428.95918 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V32 443.22449 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V33 457.48980 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V34 471.75510 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V35 486.02041 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V36 500.28571 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V37 514.55102 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V38 528.81633 -8.988466e+307  NA  NA NA  NA  NA NA 0.001350000
V39 543.08163 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V40 557.34694 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V41 571.61224 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V42 585.87755 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V43 600.14286 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V44 614.40816 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V45 628.67347 -8.988466e+307  NA  NA NA  NA  NA NA 0.001366667
V46 642.93878 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V47 657.20408 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V48 671.46939 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V49 685.73469 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V50 700.00000 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667

$BFGS
            I              L bLB bUB  b dLB dUB  d        time
V1    1.00000 -8.988466e+307  NA  NA NA  NA  NA NA 0.001350000
V2   15.26531 -8.988466e+307  NA  NA NA  NA  NA NA 0.001366667
V3   29.53061 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V4   43.79592 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V5   58.06122 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V6   72.32653 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V7   86.59184 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V8  100.85714 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V9  115.12245 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V10 129.38776 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V11 143.65306 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V12 157.91837 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V13 172.18367 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V14 186.44898 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V15 200.71429 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V16 214.97959 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V17 229.24490 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V18 243.51020 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V19 257.77551 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V20 272.04082 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V21 286.30612 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V22 300.57143 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V23 314.83673 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V24 329.10204 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V25 343.36735 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V26 357.63265 -8.988466e+307  NA  NA NA  NA  NA NA 0.001300000
V27 371.89796 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V28 386.16327 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V29 400.42857 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V30 414.69388 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V31 428.95918 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V32 443.22449 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V33 457.48980 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V34 471.75510 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V35 486.02041 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V36 500.28571 -8.988466e+307  NA  NA NA  NA  NA NA 0.001350000
V37 514.55102 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V38 528.81633 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V39 543.08163 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V40 557.34694 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V41 571.61224 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V42 585.87755 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V43 600.14286 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V44 614.40816 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V45 628.67347 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V46 642.93878 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V47 657.20408 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V48 671.46939 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667
V49 685.73469 -8.988466e+307  NA  NA NA  NA  NA NA 0.001333333
V50 700.00000 -8.988466e+307  NA  NA NA  NA  NA NA 0.001316667

$newuoa
            I        L bLB bUB          b dLB dUB        d       time
V1    1.00000 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01198333
V2   15.26531 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01190000
V3   29.53061 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01176667
V4   43.79592 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V5   58.06122 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01210000
V6   72.32653 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01170000
V7   86.59184 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01233333
V8  100.85714 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01178333
V9  115.12245 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01185000
V10 129.38776 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01176667
V11 143.65306 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01175000
V12 157.91837 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01176667
V13 172.18367 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V14 186.44898 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01168333
V15 200.71429 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01176667
V16 214.97959 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01178333
V17 229.24490 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01176667
V18 243.51020 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V19 257.77551 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01178333
V20 272.04082 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01231667
V21 286.30612 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01178333
V22 300.57143 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01173333
V23 314.83673 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01176667
V24 329.10204 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01178333
V25 343.36735 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01173333
V26 357.63265 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01178333
V27 371.89796 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01168333
V28 386.16327 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V29 400.42857 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01228333
V30 414.69388 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01235000
V31 428.95918 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01176667
V32 443.22449 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V33 457.48980 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V34 471.75510 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01180000
V35 486.02041 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01180000
V36 500.28571 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01195000
V37 514.55102 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01186667
V38 528.81633 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V39 543.08163 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01181667
V40 557.34694 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01185000
V41 571.61224 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01175000
V42 585.87755 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01185000
V43 600.14286 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01170000
V44 614.40816 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01180000
V45 628.67347 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01185000
V46 642.93878 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01180000
V47 657.20408 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01180000
V48 671.46939 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01180000
V49 685.73469 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01173333
V50 700.00000 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.01233333
