#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

#Total time to run about 5 minutes (w/ 50 points)

$spg
             I lb    ub        P         L         S
V27  5.3108163 NA NA 187.2758 -8.317766  16203.46
V28  5.5146939 NA NA 181.6316 -8.317767  12218.45
V29  5.7185714 NA NA 179.8935 -8.317767  11625.33
V30  5.9224490 NA NA 183.8472 -8.317767  14319.17
V31  6.1263265 NA NA 181.2921 -8.317767  12146.89
V32  6.3302041 NA NA 179.7272 -8.317767  12022.87
V33  6.5340816 NA NA 187.4846 -8.317766  15421.93
V34  6.7379592 NA NA 186.9574 -8.317766  15471.83
V35  6.9418367 NA NA 186.6020 -8.317766  15792.10
V36  7.1457143 NA NA 186.3714 -8.317767  15442.13
V37  7.3495918 NA NA 186.3755 -8.317767  15131.94
V38  7.5534694 NA NA 186.4625 -8.317766  15800.41
V39  7.7573469 NA NA 186.6719 -8.317766  15016.00
V40  7.9612245 NA NA 186.8063 -8.317766  15709.77
V41  8.1651020 NA NA 187.0780 -8.317766  16273.13
V42  8.3689796 NA NA 187.2281 -8.317766  16419.14
V43  8.5728571 NA NA 187.6346 -8.317766  15899.73
V44  8.7767347 NA NA 187.7883 -8.317766  15872.32
V45  8.9806122 NA NA 188.1881 -8.317766  16111.89
V46  9.1844898 NA NA 179.8540 -8.317767  11562.89
V47  9.3883673 NA NA 180.0681 -8.317767  11840.39
V48  9.5922449 NA NA 180.4503 -8.317767  12400.93
V49  9.7961224 NA NA 180.8146 -8.317767  12552.99
V50 10.0000000 NA NA 181.1566 -8.317767  12797.78

$CG
             I lb ub         P         L          S
V1   0.0100000 NA NA 121.28936 -8.317827 1131.51209
V2   0.2138776 NA NA  29.13782 -8.421460   24.45203
V3   0.4177551 NA NA  19.36768 -8.568315   13.53761
V4   0.6216327 NA NA  17.74038 -8.611248   12.08519
V5   0.8255102 NA NA  17.19520 -8.627522   11.62203
V6   1.0293878 NA NA  16.85108 -8.638342   11.33571
V7   1.2332653 NA NA  16.58414 -8.647044   11.11684
V8   1.4371429 NA NA  16.43772 -8.651935   10.99798
V9   1.6410204 NA NA  16.38503 -8.653717   10.95541
V10  1.8448980 NA NA  16.37596 -8.654025   10.94809
V11  2.0487755 NA NA  16.39137 -8.653502   10.96052
V12  2.2526531 NA NA  16.42796 -8.652265   10.99008
V13  2.4565306 NA NA  16.48539 -8.650334   11.03658
V14  2.6604082 NA NA  16.55988 -8.647848   11.09709
V15  2.8642857 NA NA  16.64353 -8.645084   11.16529
V16  3.0681633 NA NA  16.72811 -8.642316   11.23454
V17  3.2720408 NA NA  16.80844 -8.639714   11.30057
V18  3.4759184 NA NA  16.88256 -8.637334   11.36172
V19  3.6797959 NA NA  16.95043 -8.635173   11.41789
V20  3.8836735 NA NA  17.01281 -8.633202   11.46969
V21  4.0875510 NA NA  17.07068 -8.631387   11.51789
V22  4.2914286 NA NA  17.12495 -8.629695   11.56320
V23  4.4953061 NA NA  17.17643 -8.628101   11.60629
V24  4.6991837 NA NA  17.22579 -8.626581   11.64769
V25  4.9030612 NA NA  17.27356 -8.625118   11.68788
V26  5.1069388 NA NA  17.32022 -8.623698   11.72720
V27  5.3108163 NA NA  17.36612 -8.622308   11.76597
V28  5.5146939 NA NA  17.41158 -8.620939   11.80445
V29  5.7185714 NA NA  17.45685 -8.619582   11.84285
V30  5.9224490 NA NA  17.50217 -8.618232   11.88137
V31  6.1263265 NA NA  17.54770 -8.616882   11.92015
V32  6.3302041 NA NA  17.59361 -8.615528   11.95934
V33  6.5340816 NA NA  17.64004 -8.614166   11.99907
V34  6.7379592 NA NA  17.68711 -8.612793   12.03942
V35  6.9418367 NA NA  17.73491 -8.611406   12.08049
V36  7.1457143 NA NA  17.78355 -8.610003   12.12237
V37  7.3495918 NA NA  17.83310 -8.608581   12.16513
V38  7.5534694 NA NA  17.88363 -8.607140   12.20884
V39  7.7573469 NA NA  17.93521 -8.605677   12.25357
V40  7.9612245 NA NA  17.98789 -8.604192   12.29935
V41  8.1651020 NA NA  18.04173 -8.602684   12.34625
V42  8.3689796 NA NA  18.09676 -8.601152   12.39432
V43  8.5728571 NA NA  18.15304 -8.599596   12.44358
V44  8.7767347 NA NA  18.21059 -8.598014   12.49411
V45  8.9806122 NA NA  18.26946 -8.596407   12.54592
V46  9.1844898 NA NA  18.32966 -8.594775   12.59905
V47  9.3883673 NA NA  18.39124 -8.593117   12.65352
V48  9.5922449 NA NA  18.45421 -8.591433   12.70941
V49  9.7961224 NA NA  18.51859 -8.589725   12.76670
V50 10.0000000 NA NA  18.58441 -8.587990   12.82544

$BFGS
             I lb ub         P         L         S
V1   0.0100000 NA NA 121.28841 -8.317827 1131.3109
V2   0.2138776 NA NA  75.91665 -8.320072  183.7817
V3   0.4177551 NA NA  72.49093 -8.320801  160.1195
V4   0.6216327 NA NA  85.09860 -8.318872  265.6809
V5   0.8255102 NA NA  84.98810 -8.318882  264.5047
V6   1.0293878 NA NA  77.42898 -8.319809  195.2977
V7   1.2332653 NA NA  75.74061 -8.320105  182.4877
V8   1.4371429 NA NA  73.16275 -8.320642  164.5090
V9   1.6410204 NA NA  73.53754 -8.320557  167.0104
V10  1.8448980 NA NA  78.37390 -8.319660  202.8480
V11  2.0487755 NA NA 144.54359 -8.317776 2858.1344
V12  2.2526531 NA NA  78.26861 -8.319676  201.9966
V13  2.4565306 NA NA  83.74485 -8.318998  251.6515
V14  2.6604082 NA NA  72.84805 -8.320715  162.4381
V15  2.8642857 NA NA 153.64965 -8.317771 4143.7734
V16  3.0681633 NA NA  89.43562 -8.318548  316.1483
V17  3.2720408 NA NA  89.88662 -8.318520  321.8971
V18  3.4759184 NA NA  83.09093 -8.319065  245.1319
V19  3.6797959 NA NA  81.23156 -8.319273  227.5122
V20  3.8836735 NA NA  82.51588 -8.319126  239.5458
V21  4.0875510 NA NA  87.02254 -8.318714  286.9801
V22  4.2914286 NA NA  76.95604 -8.319888  191.6209
V23  4.4953061 NA NA  79.64000 -8.319478  213.4282
V24  4.6991837 NA NA 162.87526 -8.317768 5971.5447
V25  4.9030612 NA NA  77.85768 -8.319740  198.6862
V26  5.1069388 NA NA  88.41552 -8.318614  303.4521
V27  5.3108163 NA NA  91.62042 -8.318422  345.0480
V28  5.5146939 NA NA  91.44744 -8.318431  342.6605
V29  5.7185714 NA NA  81.64342 -8.319224  231.3073
V30  5.9224490 NA NA  77.29804 -8.319831  194.2753
V31  6.1263265 NA NA  74.99653 -8.320249  177.1027
V32  6.3302041 NA NA  73.66970 -8.320527  167.9006
V33  6.5340816 NA NA  72.87826 -8.320708  162.6329
V34  6.7379592 NA NA  72.41202 -8.320820  159.6120
V35  6.9418367 NA NA  91.90299 -8.318408  348.9752
V36  7.1457143 NA NA  91.78526 -8.318414  347.3319
V37  7.3495918 NA NA  91.77803 -8.318414  347.2136
V38  7.5534694 NA NA  91.86094 -8.318410  348.4079
V39  7.7573469 NA NA  72.28469 -8.320851  158.7963
V40  7.9612245 NA NA  72.47449 -8.320805  160.0133
V41  8.1651020 NA NA  72.70263 -8.320750  161.4920
V42  8.3689796 NA NA  72.96074 -8.320689  163.1781
V43  8.5728571 NA NA  73.24229 -8.320623  165.0395
V44  8.7767347 NA NA  73.54334 -8.320555  167.0467
V45  8.9806122 NA NA  73.86127 -8.320485  169.2013
V46  9.1844898 NA NA  74.19137 -8.320414  171.4620
V47  9.3883673 NA NA  74.53177 -8.320343  173.8262
V48  9.5922449 NA NA  74.88073 -8.320272  176.2848
V49  9.7961224 NA NA  75.23683 -8.320201  178.8242
V50 10.0000000 NA NA  75.59854 -8.320132  181.4470

$newuoa
             I lb ub        P         L         S
V1   0.0100000 NA NA 367.0499 -8.317766       NaN
V2   0.2138776 NA NA 356.9454 -8.317766       NaN
V3   0.4177551 NA NA 370.2330 -8.317766 106525.99
V4   0.6216327 NA NA 367.5339 -8.317766       NaN
V5   0.8255102 NA NA 380.5916 -8.317766       NaN
V6   1.0293878 NA NA 366.4256 -8.317766       NaN
V7   1.2332653 NA NA 366.6167 -8.317766       NaN
V8   1.4371429 NA NA 366.2739 -8.317766       NaN
V9   1.6410204 NA NA 377.0331 -8.317766 119541.96
V10  1.8448980 NA NA 379.0736 -8.317766       NaN
V11  2.0487755 NA NA 357.4028 -8.317766       NaN
V12  2.2526531 NA NA 364.2263 -8.317766       NaN
V13  2.4565306 NA NA 357.2585 -8.317766       NaN
V14  2.6604082 NA NA 377.7715 -8.317766 633795.36
V15  2.8642857 NA NA 371.2745 -8.317766       NaN
V16  3.0681633 NA NA 377.5520 -8.317766       NaN
V17  3.2720408 NA NA 365.1998 -8.317766       NaN
V18  3.4759184 NA NA 361.1829 -8.317766       NaN
V19  3.6797959 NA NA 371.6750 -8.317766       NaN
V20  3.8836735 NA NA 357.8928 -8.317766       NaN
V21  4.0875510 NA NA 375.9905 -8.317766       NaN
V22  4.2914286 NA NA 363.1594 -8.317766 124368.83
V23  4.4953061 NA NA 369.1853 -8.317766       NaN
V24  4.6991837 NA NA 370.8737 -8.317766       NaN
V25  4.9030612 NA NA 362.3154 -8.317766       NaN
V26  5.1069388 NA NA 358.5757 -8.317766       NaN
V27  5.3108163 NA NA 364.1459 -8.317766       NaN
V28  5.5146939 NA NA 369.7773 -8.317766  73112.88
V29  5.7185714 NA NA 362.0784 -8.317766       NaN
V30  5.9224490 NA NA 370.4253 -8.317766       NaN
V31  6.1263265 NA NA 390.8728 -8.317766       NaN
V32  6.3302041 NA NA 365.2857 -8.317766 144449.61
V33  6.5340816 NA NA 373.6347 -8.317766       NaN
V34  6.7379592 NA NA 380.6812 -8.317766       NaN
V35  6.9418367 NA NA 371.3493 -8.317766  75552.36
V36  7.1457143 NA NA 363.9468 -8.317766       NaN
V37  7.3495918 NA NA 365.1202 -8.317766       NaN
V38  7.5534694 NA NA 363.1774 -8.317766       NaN
V39  7.7573469 NA NA 369.2241 -8.317766       NaN
V40  7.9612245 NA NA 364.5417 -8.317766       NaN
V41  8.1651020 NA NA 359.2148 -8.317766       NaN
V42  8.3689796 NA NA 370.6610 -8.317766       NaN
V43  8.5728571 NA NA 369.8309 -8.317766       NaN
V44  8.7767347 NA NA 372.0315 -8.317766       NaN
V45  8.9806122 NA NA 375.2933 -8.317766       NaN
V46  9.1844898 NA NA 370.4688 -8.317766       NaN
V47  9.3883673 NA NA 374.7991 -8.317766       NaN
V48  9.5922449 NA NA 373.3118 -8.317766 198057.66
V49  9.7961224 NA NA 368.2875 -8.317766 178367.70
