#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

#Total time to run about 5 minutes (w/ 50 points)

$spg
             I lb    ub        P         L         S
V47  9.3883673  0 1e+50  154.4462 -8.317770   4217.900
V48  9.5922449  0 1e+50  151.0427 -8.317772   3725.373
V49  9.7961224  0 1e+50  145.1529 -8.317775   2933.199
V50 10.0000000  0 1e+50  178.0553 -8.317767  11125.181

$Rvmmin
             I    lb          ub            P            L         S
V1   0.0100000 0e+00 1.00000e+50     0.010000   -23.284159 116319.21
V2   0.2138776 0e+00 1.00000e+50   409.946880    -8.317766       NaN
V3   0.4177551 0e+00 1.00000e+50   217.592414    -8.317766  51627.21
V4   0.6216327 0e+00 1.00000e+50   461.527878    -8.317766       NaN
V5   0.8255102 0e+00 1.00000e+50   210.555905    -8.317766  48987.54
V6   1.0293878 0e+00 1.00000e+50   228.478939    -8.317766       NaN
V7   1.2332653 0e+00 1.00000e+50   213.930059    -8.317766  45219.05
V8   1.4371429 0e+00 1.00000e+50   250.778438    -8.317766       NaN
V9   1.6410204 0e+00 1.00000e+50   209.554074    -8.317766  42021.06
V10  1.8448980 0e+00 1.00000e+50   223.025151    -8.317766       NaN
V11  2.0487755 0e+00 1.00000e+50   213.654724    -8.317766       NaN
V12  2.2526531 0e+00 1.00000e+50   224.959429    -8.317766  50434.77
V13  2.4565306 0e+00 1.00000e+50   248.988587    -8.317766       NaN
V14  2.6604082 0e+00 1.00000e+50 33347.383234    -8.317766       NaN
V15  2.8642857 0e+00 1.00000e+50   215.366533    -8.317766  60220.85
V16  3.0681633 0e+00 1.00000e+50   216.244616    -8.317766 114726.88
V17  3.2720408 0e+00 1.00000e+50   212.132973    -8.317766  49835.98
V18  3.4759184 0e+00 1.00000e+50   251.369115    -8.317766       NaN
V19  3.6797959 0e+00 1.00000e+50   227.728037    -8.317766  54580.61
V20  3.8836735 0e+00 1.00000e+50   406.284932    -8.317766       NaN
V21  4.0875510 0e+00 1.00000e+50   238.596936    -8.317766  56053.10
V22  4.2914286 0e+00 1.00000e+50   234.628074    -8.317766       NaN
V23  4.4953061 0e+00 1.00000e+50   220.449428    -8.317766  64383.10
V24  4.6991837 0e+00 1.00000e+50   326.549956    -8.317766       NaN
V25  4.9030612 0e+00 1.00000e+50   247.445336    -8.317766  74562.13
V26  5.1069388 0e+00 1.00000e+50   420.572919    -8.317766       NaN
V27  5.3108163 0e+00 1.00000e+50   209.799471    -8.317766  70397.02
V28  5.5146939 0e+00 1.00000e+50   211.020032    -8.317766  43252.00
V29  5.7185714 0e+00 1.00000e+50   228.708964    -8.317766       NaN
V30  5.9224490 0e+00 1.00000e+50   233.469658    -8.317766       NaN
V31  6.1263265 0e+00 1.00000e+50   233.827692    -8.317766       NaN
V32  6.3302041 0e+00 1.00000e+50   290.456441    -8.317766       NaN
V33  6.5340816 0e+00 1.00000e+50   211.471952    -8.317766  36210.71
V34  6.7379592 0e+00 1.00000e+50   249.469060    -8.317766       NaN
V35  6.9418367 0e+00 1.00000e+50   232.161935    -8.317766       NaN
V36  7.1457143 0e+00 1.00000e+50   232.784849    -8.317766  72522.97
V37  7.3495918 0e+00 1.00000e+50   429.649360    -8.317766       NaN
V38  7.5534694 0e+00 1.00000e+50   227.401682    -8.317766  87525.94
V39  7.7573469 0e+00 1.00000e+50   543.569956    -8.317766 158751.69
V40  7.9612245 0e+00 1.00000e+50   210.287853    -8.317766  39444.74
V41  8.1651020 0e+00 1.00000e+50   221.469975    -8.317766       NaN
V42  8.3689796 0e+00 1.00000e+50   257.015315    -8.317766       NaN
V43  8.5728571 0e+00 1.00000e+50   209.388331    -8.317766  50705.11
V44  8.7767347 0e+00 1.00000e+50   263.955835    -8.317766  66015.35
V45  8.9806122 0e+00 1.00000e+50   217.781668    -8.317766 129180.28
V46  9.1844898 0e+00 1.00000e+50   230.717705    -8.317766       NaN
V47  9.3883673 0e+00 1.00000e+50   209.722147    -8.317766  43981.92
V48  9.5922449 0e+00 1.00000e+50   406.830185    -8.317766       NaN
V49  9.7961224 0e+00 1.00000e+50   218.793057    -8.317766      0.00
V50 10.0000000 1e+50 2.63352e+02    -8.317766 92128.215514      0.00

$bobyqa
             I lb    ub         P         L           S
V1   0.0100000  0 1e+50  88.44531 -8.318612    303.8278
V2   0.2138776  0 1e+50 351.52164 -8.317766         NaN
V3   0.4177551  0 1e+50 337.63306 -8.317766         NaN
V4   0.6216327  0 1e+50 329.06987 -8.317766         NaN
V5   0.8255102  0 1e+50 356.43853 -8.317766         NaN
V6   1.0293878  0 1e+50 317.47757 -8.317766         NaN
V7   1.2332653  0 1e+50 312.36743 -8.317766         NaN
V8   1.4371429  0 1e+50 309.73002 -8.317766         NaN
V9   1.6410204  0 1e+50 305.21050 -8.317766         NaN
V10  1.8448980  0 1e+50 349.63389 -8.317766         NaN
V11  2.0487755  0 1e+50 340.57124 -8.317766  60566.5529
V12  2.2526531  0 1e+50 352.64199 -8.317766         NaN
V13  2.4565306  0 1e+50 369.55356 -8.317766         NaN
V14  2.6604082  0 1e+50 362.98211 -8.317766 192577.3103
V15  2.8642857  0 1e+50 358.13828 -8.317766         NaN
V16  3.0681633  0 1e+50 363.35773 -8.317766 117320.0987
V17  3.2720408  0 1e+50 358.75033 -8.317766         NaN
V18  3.4759184  0 1e+50 352.98768 -8.317766         NaN
V19  3.6797959  0 1e+50 349.52960 -8.317766         NaN
V20  3.8836735  0 1e+50 352.45073 -8.317766         NaN
V21  4.0875510  0 1e+50 366.67473 -8.317766         NaN
V22  4.2914286  0 1e+50 356.25978 -8.317766         NaN
V23  4.4953061  0 1e+50 357.90519 -8.317766         NaN
V24  4.6991837  0 1e+50 363.28061 -8.317766         NaN
V25  4.9030612  0 1e+50 364.04683 -8.317766         NaN
V26  5.1069388  0 1e+50 352.56319 -8.317766 152725.3850
V27  5.3108163  0 1e+50 362.49537 -8.317766         NaN
V28  5.5146939  0 1e+50 355.39607 -8.317766 153952.5494
V29  5.7185714  0 1e+50 366.30672 -8.317766         NaN
V30  5.9224490  0 1e+50 372.99256 -8.317766         NaN
V31  6.1263265  0 1e+50 360.15385 -8.317766         NaN
V32  6.3302041  0 1e+50 356.21480 -8.317766         NaN
V33  6.5340816  0 1e+50 370.32436 -8.317766         NaN
V34  6.7379592  0 1e+50 358.91656 -8.317766         NaN
V35  6.9418367  0 1e+50 365.67946 -8.317766         NaN
V36  7.1457143  0 1e+50 370.29642 -8.317766  52134.5029
V37  7.3495918  0 1e+50 337.75773 -8.317766         NaN
V38  7.5534694  0 1e+50 336.38917 -8.317766         NaN
V39  7.7573469  0 1e+50 366.48403 -8.317766  83671.6005
V40  7.9612245  0 1e+50 363.58535 -8.317766         NaN
V41  8.1651020  0 1e+50 365.28921 -8.317766 176915.5965
V42  8.3689796  0 1e+50 342.18977 -8.317766         NaN
V43  8.5728571  0 1e+50 350.78428 -8.317766         NaN
V44  8.7767347  0 1e+50 355.18262 -8.317766         NaN
V45  8.9806122  0 1e+50 366.95465 -8.317766         NaN
V46  9.1844898  0 1e+50 359.47713 -8.317766  83635.2759
V47  9.3883673  0 1e+50 362.69977 -8.317766         NaN
V48  9.5922449  0 1e+50 371.39040 -8.317766         NaN
V49  9.7961224  0 1e+50 343.97469 -8.317766         NaN
V50 10.0000000  0 1e+50 365.88144 -8.317766         NaN

$`L-BFGS-B`
             I lb    ub        P         L         S
V1   0.0100000  0 1e+50 229.6692 -8.317766  82150.71
V2   0.2138776  0 1e+50 227.1670 -8.317766       NaN
V3   0.4177551  0 1e+50 222.8393 -8.317766       NaN
V4   0.6216327  0 1e+50 230.2799 -8.317766  69389.72
V5   0.8255102  0 1e+50 225.4958 -8.317766  69071.32
V6   1.0293878  0 1e+50 229.9095 -8.317766       NaN
V7   1.2332653  0 1e+50 229.7227 -8.317766  62521.88
V8   1.4371429  0 1e+50 231.0574 -8.317766       NaN
V9   1.6410204  0 1e+50 228.4063 -8.317766       NaN
V10  1.8448980  0 1e+50 229.4827 -8.317766       NaN
V11  2.0487755  0 1e+50 225.0010 -8.317766  47941.16
V12  2.2526531  0 1e+50 229.1191 -8.317766  50473.93
V13  2.4565306  0 1e+50 223.8392 -8.317766  55982.18
V14  2.6604082  0 1e+50 223.1966 -8.317766  62410.28
V15  2.8642857  0 1e+50 229.1160 -8.317766  46614.49
V16  3.0681633  0 1e+50 228.6141 -8.317766  65778.41
V17  3.2720408  0 1e+50 229.2720 -8.317766  41969.26
V18  3.4759184  0 1e+50 229.8487 -8.317766       NaN
V19  3.6797959  0 1e+50 227.0637 -8.317766  53874.41
V20  3.8836735  0 1e+50 225.0497 -8.317766       NaN
V21  4.0875510  0 1e+50 228.7030 -8.317766 115689.88
V22  4.2914286  0 1e+50 226.8383 -8.317766       NaN
V23  4.4953061  0 1e+50 225.6204 -8.317766  63982.95
V24  4.6991837  0 1e+50 225.0335 -8.317766  62067.78
V25  4.9030612  0 1e+50 224.9859 -8.317766  58949.93
V26  5.1069388  0 1e+50 224.6538 -8.317766 125635.49
V27  5.3108163  0 1e+50 223.6274 -8.317766  64343.62
V28  5.5146939  0 1e+50 224.9867 -8.317766 217929.56
V29  5.7185714  0 1e+50 223.4218 -8.317766  46493.13
V30  5.9224490  0 1e+50 227.1848 -8.317766  79475.85
V31  6.1263265  0 1e+50 224.5954 -8.317766  34397.76
V32  6.3302041  0 1e+50 223.1263 -8.317766  45065.70
V33  6.5340816  0 1e+50 230.7442 -8.317766       NaN
V34  6.7379592  0 1e+50 230.4750 -8.317766  64445.47
V35  6.9418367  0 1e+50 230.1524 -8.317766  63479.65
V36  7.1457143  0 1e+50 229.8581 -8.317766  82218.27
V37  7.3495918  0 1e+50 229.7838 -8.317766  45752.00
V38  7.5534694  0 1e+50 229.6300 -8.317766       NaN
V39  7.7573469  0 1e+50 229.6616 -8.317766  58087.39
V40  7.9612245  0 1e+50 230.0573 -8.317766  40460.87
V41  8.1651020  0 1e+50 230.5611 -8.317766  55832.28
V42  8.3689796  0 1e+50 230.5835 -8.317766  70629.73
V43  8.5728571  0 1e+50 230.5899 -8.317766  88753.08
V44  8.7767347  0 1e+50 231.2373 -8.317766 274323.41
V45  8.9806122  0 1e+50 222.7265 -8.317766  71913.42
V46  9.1844898  0 1e+50 223.1052 -8.317766  36881.71
V47  9.3883673  0 1e+50 223.4896 -8.317766  45139.08
V48  9.5922449  0 1e+50 223.8011 -8.317766  49733.00
V49  9.7961224  0 1e+50 224.0669 -8.317766  82032.86
V50 10.0000000  0 1e+50 224.4120 -8.317766  67621.56

$nlminb
             I lb ub        P         L         S
V1   0.0100000 NA NA 238.7938 -8.317766  46260.72
V2   0.2138776 NA NA 238.7576 -8.317766  61086.16
V3   0.4177551 NA NA 243.8691 -8.317766       NaN
V4   0.6216327 NA NA 241.1507 -8.317766  90467.67
V5   0.8255102 NA NA 245.0226 -8.317766       NaN
